Compound,Hf - 100K,Hf - 200K,Hf - 298.15K,Hf - 300K,Hf - 400K,Hf - 500K,Hf - 600K,Hf - 700K,Hf - 800K,Hf - 900K,Hf - 1000K,Hf - 1100K,Hf - 1200K,Hf - 1300K,Hf - 1400K,Hf - 1500K,Hf - 1600K,Hf - 1700K,Hf - 1800K,Hf - 1900K,Hf - 2000K,Hf - 2100K,Hf - 2200K,Hf - 2300K,Hf - 2400K,Hf - 2500K,Hf - 2600K,Hf - 2700K,Hf - 2800K,Hf - 2900K,Hf - 3000K,Hf - 3100K,Hf - 3200K,Hf - 3300K,Hf - 3400K,Hf - 3500K,Hf - 3600K,Hf - 3700K,Hf - 3800K,Hf - 3900K,Hf - 4000K,Hf - 4100K,Hf - 4200K,Hf - 4300K,Hf - 4400K,Hf - 4500K,Hf - 4600K,Hf - 4700K,Hf - 4800K,Hf - 4900K,Hf - 5000K,Hf - 5100K,Hf - 5200K,Hf - 5300K,Hf - 5400K,Hf - 5500K,Hf - 5600K,Hf - 5700K,Hf - 5800K,Hf - 5900K,Hf - 6000K,Cp - 100K,Cp - 200K,Cp - 298.15K,Cp - 300K,Cp - 400K,Cp - 500K,Cp - 600K,Cp - 700K,Cp - 800K,Cp - 900K,Cp - 1000K,Cp - 1100K,Cp - 1200K,Cp - 1300K,Cp - 1400K,Cp - 1500K,Cp - 1600K,Cp - 1700K,Cp - 1800K,Cp - 1900K,Cp - 2000K,Cp - 2100K,Cp - 2200K,Cp - 2300K,Cp - 2400K,Cp - 2500K,Cp - 2600K,Cp - 2700K,Cp - 2800K,Cp - 2900K,Cp - 3000K,Cp - 3100K,Cp - 3200K,Cp - 3300K,Cp - 3400K,Cp - 3500K,Cp - 3600K,Cp - 3700K,Cp - 3800K,Cp - 3900K,Cp - 4000K,Cp - 4100K,Cp - 4200K,Cp - 4300K,Cp - 4400K,Cp - 4500K,Cp - 4600K,Cp - 4700K,Cp - 4800K,Cp - 4900K,Cp - 5000K,Cp - 5100K,Cp - 5200K,Cp - 5300K,Cp - 5400K,Cp - 5500K,Cp - 5600K,Cp - 5700K,Cp - 5800K,Cp - 5900K,Cp - 6000K
H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.154,27.447,28.344,28.836,28.849,29.181,29.26,29.327,29.441,29.624,29.881,30.205,30.581,30.992,31.423,31.861,32.298,32.725,33.139,33.537,33.917,34.28,34.624,34.952,35.263,35.559,35.842,36.111,36.37,36.618,36.856,37.087,37.311,37.528,37.74,37.946,38.149,38.348,38.544,38.738,38.928,39.116,39.301,39.484,39.665,39.842,40.017,40.188,40.355,40.518,40.676,40.829,40.976,41.117,41.252,41.379,41.498,41.609,41.712,41.806,41.89
O2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.106,29.126,29.376,29.385,30.106,31.091,32.09,32.981,33.733,34.355,34.87,35.3,35.667,35.988,36.277,36.544,36.796,37.04,37.277,37.51,37.741,37.969,38.195,38.419,38.639,38.856,39.068,39.276,39.478,39.674,39.864,40.048,40.225,40.395,40.559,40.716,40.868,41.013,41.154,41.289,41.421,41.549,41.674,41.798,41.92,42.042,42.164,42.287,42.413,42.542,42.675,42.813,42.956,43.105,43.262,43.426,43.599,43.781,43.973,44.175,44.387
H2O,-236.584,-232.766,-228.582,-228.5,-223.901,-219.051,-214.007,-208.812,-203.496,-198.083,-192.59,-187.033,-181.425,-175.774,-170.089,-164.376,-158.639,-152.883,-147.111,-141.325,-135.528,-129.721,-123.905,-118.082,-112.252,-106.416,-100.575,-94.729,-88.878,-83.023,-77.163,-71.298,-65.43,-59.558,-53.681,-47.801,-41.916,-36.027,-30.133,-24.236,-18.334,-12.427,-6.516,-0.6,5.32,11.245,17.175,23.111,29.052,34.998,40.949,46.906,52.869,58.838,64.811,70.791,76.777,82.769,88.767,94.77,100.78,33.299,33.349,33.59,33.596,34.262,35.226,36.325,37.495,38.721,39.987,41.268,42.536,43.768,44.945,46.054,47.09,48.05,48.935,49.749,50.496,51.18,51.823,52.408,52.947,53.444,53.904,54.329,54.723,55.089,55.43,55.748,56.044,56.323,56.583,56.828,57.058,57.276,57.48,57.675,57.859,58.033,58.199,58.357,58.507,58.65,58.787,58.918,59.044,59.164,59.275,59.39,59.509,59.628,59.746,59.864,59.982,60.1,60.218,60.335,60.453,60.571
CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.208,32.359,37.129,37.221,41.325,44.627,47.321,49.564,51.434,52.999,54.308,55.409,56.342,57.137,57.802,58.379,58.886,59.317,59.701,60.049,60.35,60.622,60.865,61.086,61.287,61.471,61.647,61.802,61.952,62.095,62.229,62.347,62.462,62.573,62.681,62.785,62.884,62.98,63.074,63.166,63.254,63.341,63.426,63.509,63.588,63.667,63.745,63.823,63.893,63.968,64.046,64.128,64.22,64.312,64.404,64.496,64.588,64.68,64.772,64.865,64.957
F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2O2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2O4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2O2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
